actual_day,bottle,treatment,vs_in,vs_s,vs_fed,daily_biogas,methane_v_frac,daily_methane,cumu_methane
15,9,I+SS,4.9,2.5,7.4,0.5244497099937462,0.976647905,0.5122027105432497,23.83896413452026
16,9,I+SS,4.9,2.5,7.4,-0.3192856976693008,0.9759554730000001,0,23.83896413452026
17,9,I+SS,4.9,2.5,7.4,-0.1697761076150215,0.975263041,0,23.83896413452026
18,9,I+SS,4.9,2.5,7.4,-0.1460900481536811,0.9737288147500001,0,23.83896413452026
19,9,I+SS,4.9,2.5,7.4,-0.17609374567540215,0.9721945885000001,0,23.83896413452026
20,9,I+SS,4.9,2.5,7.4,-0.23940828820043691,0.97066036225,0,23.83896413452026
21,9,I+SS,4.9,2.5,7.4,-1.110750770332551,0.969126136,0,23.83896413452026
22,9,I+SS,4.9,2.5,7.4,-0.9028055353769489,0.969126136,0,23.83896413452026
23,9,I+SS,4.9,2.5,7.4,-0.3611314542286834,0.969126136,0,23.83896413452026
24,9,I+SS,4.9,2.5,7.4,-0.5287527921235124,0.969126136,0,23.83896413452026
25,9,I+SS,4.9,2.5,7.4,-0.4789490693800076,0.969126136,0,23.83896413452026
26,9,I+SS,4.9,2.5,7.4,-0.45936679443230943,0.969126136,0,23.83896413452026
27,9,I+SS,4.9,2.5,7.4,-0.3787942641745765,0.969126136,0,23.83896413452026
28,9,I+SS,4.9,2.5,7.4,-0.2066423716684227,0.969126136,0,23.83896413452026
1,10,I+MC,7,3.5,10.5,1.2061314757141943,0.222646706,0.2685412000706844,0.2685412000706844
2,10,I+MC,7,3.5,10.5,92.64627318368767,0.445293412,41.25477509504839,41.52331629511907
3,10,I+MC,7,3.5,10.5,144.899581468836,0.540450988,78.31112196561891,119.83443826073798
4,10,I+MC,7,3.5,10.5,92.586158298179555,0.635608564,58.84855512218259,178.68299338292059
5,10,I+MC,7,3.5,10.5,36.06179633156995,0.6541291243333334,23.589071256256865,202.27206463917744
6,10,I+MC,7,3.5,10.5,25.072363729413496,0.6726496846666666,16.86491755643796,219.13698219561542
7,10,I+MC,7,3.5,10.5,18.527508385303236,0.691170245,12.805662509909592,231.942644705525
8,10,I+MC,7,3.5,10.5,22.69203661014467,0.7183167433333334,16.300069837399892,248.2427145429249
9,10,I+MC,7,3.5,10.5,28.748270567606085,0.7454632416666667,21.430778969638055,269.6734935125629
10,10,I+MC,7,3.5,10.5,34.77963890093281,0.77260974,26.871087768543585,296.5445812811065
11,10,I+MC,7,3.5,10.5,45.031465081537135,0.78196838925,35.213182215377216,331.75776349648373
